accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,control
-1687.68,2.53,-437.33,2.53,0.4,0.56,0.4,0.56,-4.61,-1687.68,6.72,-437.33,-1687.68,1475.86,0.56,2.53,1475.86,0.56,2.53,2.53,0.78,2.53,-1687.68,-1687.68,-4.61,-4.61,0.78,1475.86,-4.61,-437.33,0.56,0.56,0.4,0.4,0.78,0.78,1475.86,1475.86,2.53,6.72,0.78,0.78,0.4,1475.86,-437.33,1475.86,-4.61,-4.61,-437.33,-1687.68,0.4,2.53,-437.33,6.72,0.4,-4.61,6.72,2.53,6.72,-437.33,-437.33,-4.61,6.72,0.4,0.56,1475.86,-4.61,2.53,0.56,0.78,0.56,0.78,0.56,1475.86,-1687.68,0.4,1475.86,-1687.68,6.72,0.4,-437.33,-1687.68,6.72,0.78,-437.33,6.72,0.78,-4.61,-1687.68,6.72,Very high
-750.25,0.76,209.46,0.76,0.17,0.23,0.17,0.23,-3.75,-750.25,-5.41,209.46,-750.25,1448.99,0.23,0.76,1448.99,0.23,0.76,0.76,0.33,0.76,-750.25,-750.25,-3.75,-3.75,0.33,1448.99,-3.75,209.46,0.23,0.23,0.17,0.17,0.33,0.33,1448.99,1448.99,0.76,-5.41,0.33,0.33,0.17,1448.99,209.46,1448.99,-3.75,-3.75,209.46,-750.25,0.17,0.76,209.46,-5.41,0.17,-3.75,-5.41,0.76,-5.41,209.46,209.46,-3.75,-5.41,0.17,0.23,1448.99,-3.75,0.76,0.23,0.33,0.23,0.33,0.23,1448.99,-750.25,0.17,1448.99,-750.25,-5.41,0.17,209.46,-750.25,-5.41,0.33,209.46,-5.41,0.33,-3.75,-750.25,-5.41,Very high
-457.05,-3.21,455.96,-3.21,0.11,0.25,0.11,0.25,-2.86,-457.05,-6.58,455.96,-457.05,1591.03,0.25,-3.21,1591.03,0.25,-3.21,-3.21,0.29,-3.21,-457.05,-457.05,-2.86,-2.86,0.29,1591.03,-2.86,455.96,0.25,0.25,0.11,0.11,0.29,0.29,1591.03,1591.03,-3.21,-6.58,0.29,0.29,0.11,1591.03,455.96,1591.03,-2.86,-2.86,455.96,-457.05,0.11,-3.21,455.96,-6.58,0.11,-2.86,-6.58,-3.21,-6.58,455.96,455.96,-2.86,-6.58,0.11,0.25,1591.03,-2.86,-3.21,0.25,0.29,0.25,0.29,0.25,1591.03,-457.05,0.11,1591.03,-457.05,-6.58,0.11,455.96,-457.05,-6.58,0.29,455.96,-6.58,0.29,-2.86,-457.05,-6.58,Very high
-961.31,0.73,66.53,0.73,0.29,0.92,0.29,0.92,-2.64,-961.31,1.01,66.53,-961.31,1769.39,0.92,0.73,1769.39,0.92,0.73,0.73,0.67,0.73,-961.31,-961.31,-2.64,-2.64,0.67,1769.39,-2.64,66.53,0.92,0.92,0.29,0.29,0.67,0.67,1769.39,1769.39,0.73,1.01,0.67,0.67,0.29,1769.39,66.53,1769.39,-2.64,-2.64,66.53,-961.31,0.29,0.73,66.53,1.01,0.29,-2.64,1.01,0.73,1.01,66.53,66.53,-2.64,1.01,0.29,0.92,1769.39,-2.64,0.73,0.92,0.67,0.92,0.67,0.92,1769.39,-961.31,0.29,1769.39,-961.31,1.01,0.29,66.53,-961.31,1.01,0.67,66.53,1.01,0.67,-2.64,-961.31,1.01,Very high
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.68,-5.16,191.9,-5.16,0.56,0.92,0.56,0.92,-10.88,460.68,-18.5,191.9,460.68,1751.81,0.92,-5.16,1751.81,0.92,-5.16,-5.16,0.79,-5.16,460.68,460.68,-10.88,-10.88,0.79,1751.81,-10.88,191.9,0.92,0.92,0.56,0.56,0.79,0.79,1751.81,1751.81,-5.16,-18.5,0.79,0.79,0.56,1751.81,191.9,1751.81,-10.88,-10.88,191.9,460.68,0.56,-5.16,191.9,-18.5,0.56,-10.88,-18.5,-5.16,-18.5,191.9,191.9,-10.88,-18.5,0.56,0.92,1751.81,-10.88,-5.16,0.92,0.79,0.92,0.79,0.92,1751.81,460.68,0.56,1751.81,460.68,-18.5,0.56,191.9,460.68,-18.5,0.79,191.9,-18.5,0.79,-10.88,460.68,-18.5,High
703.91,2.59,623.74,2.59,0.5,0.49,0.5,0.49,-2.63,703.91,-1.14,623.74,703.91,1960.93,0.49,2.59,1960.93,0.49,2.59,2.59,0.63,2.59,703.91,703.91,-2.63,-2.63,0.63,1960.93,-2.63,623.74,0.49,0.49,0.5,0.5,0.63,0.63,1960.93,1960.93,2.59,-1.14,0.63,0.63,0.5,1960.93,623.74,1960.93,-2.63,-2.63,623.74,703.91,0.5,2.59,623.74,-1.14,0.5,-2.63,-1.14,2.59,-1.14,623.74,623.74,-2.63,-1.14,0.5,0.49,1960.93,-2.63,2.59,0.49,0.63,0.49,0.63,0.49,1960.93,703.91,0.5,1960.93,703.91,-1.14,0.5,623.74,703.91,-1.14,0.63,623.74,-1.14,0.63,-2.63,703.91,-1.14,Very high
505.05,4.0,993.36,4.0,0.48,0.66,0.48,0.66,-1.27,505.05,-0.98,993.36,505.05,1245.27,0.66,4.0,1245.27,0.66,4.0,4.0,0.58,4.0,505.05,505.05,-1.27,-1.27,0.58,1245.27,-1.27,993.36,0.66,0.66,0.48,0.48,0.58,0.58,1245.27,1245.27,4.0,-0.98,0.58,0.58,0.48,1245.27,993.36,1245.27,-1.27,-1.27,993.36,505.05,0.48,4.0,993.36,-0.98,0.48,-1.27,-0.98,4.0,-0.98,993.36,993.36,-1.27,-0.98,0.48,0.66,1245.27,-1.27,4.0,0.66,0.58,0.66,0.58,0.66,1245.27,505.05,0.48,1245.27,505.05,-0.98,0.48,993.36,505.05,-0.98,0.58,993.36,-0.98,0.58,-1.27,505.05,-0.98,Very high
555.04,-1.26,478.83,-1.26,0.49,0.88,0.49,0.88,-3.19,555.04,-5.05,478.83,555.04,969.55,0.88,-1.26,969.55,0.88,-1.26,-1.26,0.81,-1.26,555.04,555.04,-3.19,-3.19,0.81,969.55,-3.19,478.83,0.88,0.88,0.49,0.49,0.81,0.81,969.55,969.55,-1.26,-5.05,0.81,0.81,0.49,969.55,478.83,969.55,-3.19,-3.19,478.83,555.04,0.49,-1.26,478.83,-5.05,0.49,-3.19,-5.05,-1.26,-5.05,478.83,478.83,-3.19,-5.05,0.49,0.88,969.55,-3.19,-1.26,0.88,0.81,0.88,0.81,0.88,969.55,555.04,0.49,969.55,555.04,-5.05,0.49,478.83,555.04,-5.05,0.81,478.83,-5.05,0.81,-3.19,555.04,-5.05,Very high
106.47,3.2,737.69,3.2,0.47,0.69,0.47,0.69,-2.62,106.47,7.63,737.69,106.47,1343.48,0.69,3.2,1343.48,0.69,3.2,3.2,0.85,3.2,106.47,106.47,-2.62,-2.62,0.85,1343.48,-2.62,737.69,0.69,0.69,0.47,0.47,0.85,0.85,1343.48,1343.48,3.2,7.63,0.85,0.85,0.47,1343.48,737.69,1343.48,-2.62,-2.62,737.69,106.47,0.47,3.2,737.69,7.63,0.47,-2.62,7.63,3.2,7.63,737.69,737.69,-2.62,7.63,0.47,0.69,1343.48,-2.62,3.2,0.69,0.85,0.69,0.85,0.69,1343.48,106.47,0.47,1343.48,106.47,7.63,0.47,737.69,106.47,7.63,0.85,737.69,7.63,0.85,-2.62,106.47,7.63,Very high
