accX_mad,gyroX_kurtosis,accY_mean,gyroX_iqr,ci_sma,distance_std,ci_std,distance_mean,gyroZ_skewness,accX_max,gyroY_skewness,accY_min,accX_min,accZ_iqr,distance_sma,gyroX_sma,accZ_sma,distance_iqr,gyroX_mad,gyroX_max,proximity_min,gyroX_min,accX_mean,accX_iqr,gyroZ_maxInds,gyroZ_mad,proximity_kurtosis,accZ_min,gyroZ_kurtosis,accY_skewness,distance_skewness,distance_kurtosis,ci_max,ci_min,proximity_sma,proximity_std,accZ_max,accZ_std,gyroX_std,gyroY_std,proximity_maxInds,proximity_max,ci_iqr,accZ_mad,accY_kurtosis,accZ_skewness,gyroZ_min,gyroZ_max,accY_iqr,accX_sma,ci_mean,gyroX_maxInds,accY_std,gyroY_mean,ci_maxInds,gyroZ_sma,gyroY_kurtosis,gyroX_mean,gyroY_maxInds,accY_mad,accY_max,gyroZ_iqr,gyroY_sma,ci_kurtosis,distance_maxInds,accZ_maxInds,gyroZ_mean,gyroX_skewness,distance_mad,proximity_mad,distance_max,proximity_iqr,distance_min,accZ_kurtosis,accX_maxInds,ci_mad,accZ_mean,accX_skewness,gyroY_iqr,ci_skewness,accY_maxInds,accX_std,gyroY_min,proximity_skewness,accY_sma,gyroY_max,proximity_mean,gyroZ_std,accX_kurtosis,gyroY_mad,activity
1219.5,4.76,-437.33,32.75,0.09,0.25,0.18,0.56,-1.23,6385.0,-0.82,-8590.0,-8693.0,2378.75,0.12,1.96,1146.15,0.15,16.0,140.0,0.0,-109.0,-1687.68,2177.25,9.0,7.0,5.24,-7999.0,1.62,-0.18,-0.93,0.73,0.82,0.0,0.17,0.26,8178.0,3351.54,30.2,46.78,3.0,1.0,0.2,1206.0,2.17,-0.52,-68.0,30.0,1738.5,-1310.65,0.4,3.0,2400.78,6.72,15.0,-3.58,2.28,2.53,3.0,822.5,6129.0,15.75,5.22,0.5,8.0,13.0,-4.61,-0.59,0.07,0.02,1.05,0.04,0.0,1.09,9.0,0.1,1475.86,0.52,31.75,-0.34,8.0,2929.62,-187.0,-2.64,-339.63,125.0,0.78,18.45,0.66,14.5,Very High
1037.0,1.11,209.46,31.0,0.04,0.32,0.25,0.23,1.37,5634.0,-1.78,-8590.0,-6195.0,1497.5,0.05,0.58,1109.39,0.63,16.0,95.0,0.0,-78.0,-750.25,2682.5,8.0,9.0,-1.72,-8937.0,3.05,-0.49,0.67,-1.49,0.82,0.0,0.08,0.42,9791.0,3171.05,25.4,29.94,3.0,1.0,0.33,755.0,2.07,-0.29,-41.0,73.0,2482.0,-574.41,0.17,1.0,2781.09,-5.41,3.0,-2.87,4.43,0.76,2.0,939.0,8858.0,16.0,-4.15,-0.01,3.0,8.0,-3.75,0.14,0.0,0.0,0.77,0.85,0.0,1.74,1.0,0.0,1448.99,0.22,23.5,1.11,7.0,2337.86,-131.0,0.51,160.37,46.0,0.33,18.13,0.12,11.0,Very High
1572.0,4.57,455.96,17.0,0.03,0.39,0.16,0.25,1.78,5634.0,-2.02,-8076.0,-5851.0,1227.5,0.06,-2.47,1224.51,0.62,9.0,95.0,0.0,-78.0,-457.05,3149.5,3.0,8.0,-1.48,-8937.0,4.42,-0.03,1.04,-0.57,0.49,0.0,0.07,0.4,9791.0,2623.51,21.44,27.52,3.0,0.99,0.32,632.0,5.29,-0.41,-27.0,73.0,1642.5,-351.76,0.11,10.0,2007.41,-6.58,3.0,-2.2,6.4,-3.21,5.0,785.0,8858.0,16.0,-5.06,-0.95,3.0,8.0,-2.86,0.71,0.0,0.0,1.13,0.79,0.0,4.23,5.0,0.0,1591.03,0.21,21.0,0.9,7.0,2039.88,-131.0,0.7,350.92,46.0,0.29,16.6,-0.12,11.0,High
550.0,0.63,66.53,16.0,0.06,0.46,0.12,0.92,-0.69,1934.0,-0.21,-1188.0,-3426.0,756.0,0.2,0.57,1381.45,0.61,7.5,38.0,0.0,-23.0,-961.31,1525.0,4.0,5.0,2.63,147.0,0.72,0.36,-0.95,-0.3,0.49,0.0,0.15,0.26,4002.0,716.0,11.15,14.26,9.0,0.99,0.05,362.0,0.13,0.59,-27.0,14.0,639.0,-750.54,0.29,2.0,536.49,1.01,4.0,-2.06,0.47,0.73,5.0,333.0,1437.0,9.0,0.79,1.25,3.0,8.0,-2.64,0.71,0.15,0.03,1.53,0.08,0.0,0.77,6.0,0.02,1769.39,0.01,18.5,-1.52,6.0,1245.66,-37.0,-2.0,51.95,38.0,0.67,7.98,-0.42,9.5,High
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.0,0.5,191.9,32.0,0.13,0.51,0.17,0.92,-0.65,9678.0,-1.23,-6315.0,-3805.0,2414.0,0.22,-3.98,1352.43,0.98,13.0,68.0,0.62,-79.0,460.68,1785.0,1.0,8.0,-1.35,-5610.0,-0.24,-0.74,0.35,-1.38,0.82,0.27,0.19,0.11,10739.0,3105.02,24.16,40.67,3.0,1.0,0.29,1260.0,0.39,0.18,-51.0,17.0,2594.0,355.66,0.56,8.0,2244.81,-18.5,3.0,-8.4,1.51,-5.16,1.0,976.0,5423.0,20.0,-14.28,-1.4,3.0,7.0,-10.88,-0.57,0.22,0.05,1.71,0.22,0.01,1.53,7.0,0.17,1751.81,1.17,37.0,-0.07,2.0,1969.18,-164.0,-0.35,148.15,63.0,0.79,14.35,5.56,16.0,Very High
444.0,1.82,623.74,20.5,0.12,0.71,0.31,0.49,-0.12,4822.0,0.21,-5868.0,-4884.0,2158.0,0.12,1.97,1493.55,0.59,10.0,87.0,0.0,-79.0,703.91,966.5,4.0,5.0,-1.19,-9611.0,0.8,0.55,3.53,13.17,0.82,0.0,0.15,0.41,10002.0,3479.69,24.78,30.24,4.0,1.0,0.6,1221.0,0.85,-0.47,-36.0,27.0,2223.0,536.14,0.5,5.0,2838.52,-1.14,4.0,-2.01,0.55,2.59,7.0,826.0,8717.0,10.0,-0.87,-0.98,16.0,5.0,-2.63,-0.25,0.15,0.04,3.76,0.85,0.0,1.99,7.0,0.1,1960.93,-0.98,30.5,-0.88,7.0,1389.64,-82.0,-0.86,475.08,74.0,0.63,11.96,2.8,13.0,Very High
1034.5,3.65,993.36,34.0,0.11,1.08,0.31,0.66,0.15,6660.0,-0.28,-5868.0,-4884.0,7999.0,0.15,3.07,956.89,0.54,17.5,158.0,0.0,-79.0,505.05,2221.75,5.0,11.5,-1.64,-9611.0,-0.44,0.14,2.25,3.6,0.78,0.0,0.13,0.42,11351.0,4998.93,33.25,39.32,3.0,1.0,0.73,3691.5,-0.29,-0.02,-36.0,44.0,4033.75,388.09,0.48,8.0,3213.14,-0.98,3.0,-0.98,-0.17,4.0,5.0,2021.0,8717.0,23.5,-0.75,-1.12,17.0,6.0,-1.27,0.99,0.26,0.07,3.93,0.89,0.0,-0.93,3.0,0.16,1245.27,-0.3,59.5,-0.77,3.0,1917.47,-130.0,-0.51,763.32,74.0,0.58,17.53,0.64,31.0,Very High
650.5,4.06,478.83,37.0,0.11,0.84,0.21,0.88,0.28,6660.0,-0.61,-6772.0,-4516.0,5649.75,0.19,-0.99,761.04,0.53,18.0,158.0,0.13,-129.0,555.04,1716.75,6.0,12.0,6.24,-7191.0,-0.23,-0.2,2.59,6.3,0.78,0.17,0.17,0.19,11351.0,4157.68,38.05,33.59,5.0,1.0,0.42,2759.0,0.41,0.15,-46.0,44.0,2630.25,435.68,0.49,6.0,2709.72,-5.05,4.0,-2.51,0.58,-1.26,7.0,1328.5,6881.0,23.75,-3.97,-1.54,5.0,6.0,-3.19,-0.1,0.26,0.06,3.93,0.12,0.0,-0.5,13.0,0.22,969.55,-0.17,48.0,-0.01,9.0,1650.61,-130.0,-2.58,375.85,63.0,0.81,17.8,1.75,23.5,Very High
634.0,2.7,737.69,42.0,0.1,0.3,0.2,0.69,-0.92,3321.0,-0.15,-6772.0,-4304.0,3727.5,0.15,2.5,1050.49,0.4,22.0,132.0,0.74,-129.0,106.47,1277.5,2.0,13.0,-0.03,-7197.0,0.92,0.07,-0.4,0.0,0.8,0.17,0.18,0.07,9021.0,3354.41,37.6,34.93,5.0,1.0,0.37,1937.0,0.45,-0.45,-68.0,37.0,2836.0,83.25,0.47,4.0,2672.2,7.63,4.0,-2.05,-0.51,3.2,1.0,1334.0,6881.0,27.0,5.96,-1.28,5.0,14.0,-2.62,-0.77,0.14,0.03,1.16,0.09,0.0,0.31,10.0,0.16,1343.48,-0.69,49.0,0.24,7.0,1562.55,-76.0,0.39,576.81,85.0,0.85,21.32,0.44,24.0,Very High
